jsp	line	body	candidate_sysop_html	candidate_front_html	exists_sysop	exists_front
public_html\sysop\word\excel.jsp	111	word.excel	public_html\\sysop\\html\\word\\excel.html	public_html\\html\\word\\excel.html	True	False
public_html\sysop\word\excel.jsp	126	word.excel	public_html\\sysop\\html\\word\\excel.html	public_html\\html\\word\\excel.html	True	False
public_html\sysop\banner\banner_modify.jsp	103	banner.banner_insert	public_html\\sysop\\html\\banner\\banner_insert.html	public_html\\html\\banner\\banner_insert.html	True	False
public_html\sysop\tag\tag_list.jsp	64	tag.tag_list	public_html\\sysop\\html\\tag\\tag_list.html	public_html\\html\\tag\\tag_list.html	True	False
public_html\sysop\banner\banner_list.jsp	57	banner.banner_list	public_html\\sysop\\html\\banner\\banner_list.html	public_html\\html\\banner\\banner_list.html	True	False
public_html\sysop\banner\banner_insert.jsp	78	banner.banner_insert	public_html\\sysop\\html\\banner\\banner_insert.html	public_html\\html\\banner\\banner_insert.html	True	False
public_html\sysop\tag\course_list.jsp	78	tag.course_list	public_html\\sysop\\html\\tag\\course_list.html	public_html\\html\\tag\\course_list.html	True	False
public_html\sysop\menu\search_icon.jsp	36	menu.search_icon	public_html\\sysop\\html\\menu\\search_icon.html	public_html\\html\\menu\\search_icon.html	True	False
public_html\sysop\sitemap\sitemap_tree.jsp	14	sitemap.sitemap_tree	public_html\\sysop\\html\\sitemap\\sitemap_tree.html	public_html\\html\\sitemap\\sitemap_tree.html	True	False
public_html\sysop\freepass\user_list.jsp	89	freepass.user_list	public_html\\sysop\\html\\freepass\\user_list.html	public_html\\html\\freepass\\user_list.html	True	False
public_html\main\book_list.jsp	37	main.book_list	public_html\\sysop\\html\\main\\book_list.html	public_html\\html\\main\\book_list.html	False	True
public_html\sysop\menu\menu_tree.jsp	31	menu.menu_tree	public_html\\sysop\\html\\menu\\menu_tree.html	public_html\\html\\menu\\menu_tree.html	True	False
public_html\sysop\sitemap\sitemap_select.jsp	30	sitemap.sitemap_select	public_html\\sysop\\html\\sitemap\\sitemap_select.html	public_html\\html\\sitemap\\sitemap_select.html	True	False
public_html\sysop\freepass\user_add.jsp	86	course.user_add	public_html\\sysop\\html\\course\\user_add.html	public_html\\html\\course\\user_add.html	True	False
public_html\main\banner_list.jsp	36	main.banner_list	public_html\\sysop\\html\\main\\banner_list.html	public_html\\html\\main\\banner_list.html	False	True
public_html\sysop\menu\menu_move.jsp	34	menu.menu_move	public_html\\sysop\\html\\menu\\menu_move.html	public_html\\html\\menu\\menu_move.html	True	False
public_html\sysop\sitemap\sitemap_move.jsp	35	sitemap.sitemap_move	public_html\\sysop\\html\\sitemap\\sitemap_move.html	public_html\\html\\sitemap\\sitemap_move.html	True	False
public_html\sysop\freepass\freepass_select.jsp	53	freepass.freepass_select	public_html\\sysop\\html\\freepass\\freepass_select.html	public_html\\html\\freepass\\freepass_select.html	True	False
public_html\sysop\ktalk\template_modify.jsp	77	ktalk.template_insert	public_html\\sysop\\html\\ktalk\\template_insert.html	public_html\\html\\ktalk\\template_insert.html	True	False
public_html\sysop\sitemap\sitemap_modify.jsp	184	sitemap.sitemap_insert	public_html\\sysop\\html\\sitemap\\sitemap_insert.html	public_html\\html\\sitemap\\sitemap_insert.html	True	False
public_html\sysop\freepass\freepass_modify.jsp	159	freepass.freepass_insert	public_html\\sysop\\html\\freepass\\freepass_insert.html	public_html\\html\\freepass\\freepass_insert.html	True	False
public_html\sysop\menu\menu_modify.jsp	111	menu.menu_insert	public_html\\sysop\\html\\menu\\menu_insert.html	public_html\\html\\menu\\menu_insert.html	True	False
public_html\sysop\ktalk\template_list.jsp	46	ktalk.template_list	public_html\\sysop\\html\\ktalk\\template_list.html	public_html\\html\\ktalk\\template_list.html	True	False
public_html\main\formmail.jsp	230	main.formmail	public_html\\sysop\\html\\main\\formmail.html	public_html\\html\\main\\formmail.html	False	True
public_html\sysop\freepass\freepass_list.jsp	53	freepass.freepass_list	public_html\\sysop\\html\\freepass\\freepass_list.html	public_html\\html\\freepass\\freepass_list.html	True	False
public_html\sysop\sitemap\sitemap_list.jsp	8	sitemap.sitemap_list	public_html\\sysop\\html\\sitemap\\sitemap_list.html	public_html\\html\\sitemap\\sitemap_list.html	True	False
public_html\sysop\menu\menu_list.jsp	11	menu.menu_list	public_html\\sysop\\html\\menu\\menu_list.html	public_html\\html\\menu\\menu_list.html	True	False
public_html\sysop\ktalk\template_insert.jsp	74	ktalk.template_insert	public_html\\sysop\\html\\ktalk\\template_insert.html	public_html\\html\\ktalk\\template_insert.html	True	False
public_html\sysop\freepass\freepass_insert.jsp	74	freepass.freepass_insert	public_html\\sysop\\html\\freepass\\freepass_insert.html	public_html\\html\\freepass\\freepass_insert.html	True	False
public_html\sysop\sitemap\sitemap_insert.jsp	187	sitemap.sitemap_insert	public_html\\sysop\\html\\sitemap\\sitemap_insert.html	public_html\\html\\sitemap\\sitemap_insert.html	True	False
public_html\sysop\menu\menu_insert.jsp	132	menu.menu_insert	public_html\\sysop\\html\\menu\\menu_insert.html	public_html\\html\\menu\\menu_insert.html	True	False
public_html\sysop\book\user_list.jsp	120	book.user_list	public_html\\sysop\\html\\book\\user_list.html	public_html\\html\\book\\user_list.html	True	False
public_html\main\index.jsp	38	main.index	public_html\\sysop\\html\\main\\index.html	public_html\\html\\main\\index.html	True	True
public_html\sysop\freepass\course_select.jsp	109	freepass.course_select	public_html\\sysop\\html\\freepass\\course_select.html	public_html\\html\\freepass\\course_select.html	True	False
public_html\main\formmail_json.jsp	109	main.formmail_json	public_html\\sysop\\html\\main\\formmail_json.html	public_html\\html\\main\\formmail_json.html	False	True
public_html\sysop\ktalk\send_list.jsp	52	ktalk.send_list	public_html\\sysop\\html\\ktalk\\send_list.html	public_html\\html\\ktalk\\send_list.html	True	False
public_html\sysop\book\package_book_select.jsp	104	book.package_book_select	public_html\\sysop\\html\\book\\package_book_select.html	public_html\\html\\book\\package_book_select.html	True	False
public_html\sysop\menu\menu_grant.jsp	29	menu.menu_grant	public_html\\sysop\\html\\menu\\menu_grant.html	public_html\\html\\menu\\menu_grant.html	True	False
public_html\sysop\sitemap\search_icon.jsp	36	menu.search_icon	public_html\\sysop\\html\\menu\\search_icon.html	public_html\\html\\menu\\search_icon.html	True	False
public_html\sysop\ktalk\ktalk_modify.jsp	127	ktalk.ktalk_insert	public_html\\sysop\\html\\ktalk\\ktalk_insert.html	public_html\\html\\ktalk\\ktalk_insert.html	True	False
public_html\sysop\book\package_book.jsp	101	book.package_book	public_html\\sysop\\html\\book\\package_book.html	public_html\\html\\book\\package_book.html	True	False
public_html\sysop\ktalk\ktalk_list.jsp	60	ktalk.ktalk_list	public_html\\sysop\\html\\ktalk\\ktalk_list.html	public_html\\html\\ktalk\\ktalk_list.html	True	False
public_html\sysop\sitemap\module_select.jsp	54	sitemap.module_select	public_html\\sysop\\html\\sitemap\\module_select.html	public_html\\html\\sitemap\\module_select.html	True	False
public_html\main\playlist_list.jsp	67	main.playlist_list	public_html\\sysop\\html\\main\\playlist_list.html	public_html\\html\\main\\playlist_list.html	False	True
public_html\main\page.jsp	21	main.page	public_html\\sysop\\html\\main\\page.html	public_html\\html\\main\\page.html	False	True
public_html\sysop\ktalk\ktalk_insert.jsp	99	ktalk.ktalk_insert	public_html\\sysop\\html\\ktalk\\ktalk_insert.html	public_html\\html\\ktalk\\ktalk_insert.html	True	False
public_html\sysop\board\write.jsp	105	board.write	public_html\\sysop\\html\\board\\write.html	public_html\\html\\board\\write.html	True	True
public_html\sysop\book\category_tree.jsp	14	book.category_tree	public_html\\sysop\\html\\book\\category_tree.html	public_html\\html\\book\\category_tree.html	True	False
public_html\sysop\book\category_select.jsp	30	book.category_select	public_html\\sysop\\html\\book\\category_select.html	public_html\\html\\book\\category_select.html	True	False
public_html\sysop\board\user_add.jsp	61	board.user_add	public_html\\sysop\\html\\board\\user_add.html	public_html\\html\\board\\user_add.html	True	False
public_html\main\popup.jsp	14	main.popup	public_html\\sysop\\html\\main\\popup.html	public_html\\html\\main\\popup.html	False	True
public_html\main\popup.jsp	49	main.popup	public_html\\sysop\\html\\main\\popup.html	public_html\\html\\main\\popup.html	False	True
public_html\sysop\book\book_select.jsp	51	book.book_select	public_html\\sysop\\html\\book\\book_select.html	public_html\\html\\book\\book_select.html	True	False
public_html\sysop\board\search_postassign.jsp	52	board.search_postassign	public_html\\sysop\\html\\board\\search_postassign.html	public_html\\html\\board\\search_postassign.html	True	False
public_html\sysop\book\category_modify.jsp	115	book.category_insert	public_html\\sysop\\html\\book\\category_insert.html	public_html\\html\\book\\category_insert.html	True	False
public_html\sysop\book\book_modify.jsp	226	book.book_insert	public_html\\sysop\\html\\book\\book_insert.html	public_html\\html\\book\\book_insert.html	True	False
public_html\main\pop_bizno.jsp	59	main.pop_bizno	public_html\\sysop\\html\\main\\pop_bizno.html	public_html\\html\\main\\pop_bizno.html	False	True
public_html\sysop\book\category_list.jsp	8	book.category_list	public_html\\sysop\\html\\book\\category_list.html	public_html\\html\\book\\category_list.html	True	False
public_html\sysop\board\read.jsp	115	board.read	public_html\\sysop\\html\\board\\read.html	public_html\\html\\board\\read.html	True	True
public_html\sysop\book\book_main.jsp	85	book.book_main	public_html\\sysop\\html\\book\\book_main.html	public_html\\html\\book\\book_main.html	True	False
public_html\main\pop_bizno_simple.jsp	40	main.pop_bizno_simple	public_html\\sysop\\html\\main\\pop_bizno_simple.html	public_html\\html\\main\\pop_bizno_simple.html	False	True
public_html\sysop\book\category_insert.jsp	69	book.category_insert	public_html\\sysop\\html\\book\\category_insert.html	public_html\\html\\book\\category_insert.html	True	False
public_html\sysop\board\post_excel_insert.jsp	77	board.post_excel_insert	public_html\\sysop\\html\\board\\post_excel_insert.html	public_html\\html\\board\\post_excel_insert.html	True	False
public_html\sysop\book\book_list.jsp	69	book.book_list	public_html\\sysop\\html\\book\\book_list.html	public_html\\html\\book\\book_list.html	True	True
public_html\main\pop_zipcode.jsp	6	main.pop_zipcode	public_html\\sysop\\html\\main\\pop_zipcode.html	public_html\\html\\main\\pop_zipcode.html	True	True
public_html\sysop\board\move.jsp	38	board.move	public_html\\sysop\\html\\board\\move.html	public_html\\html\\board\\move.html	True	False
public_html\sysop\book\book_insert.jsp	131	book.book_insert	public_html\\sysop\\html\\book\\book_insert.html	public_html\\html\\book\\book_insert.html	True	False
public_html\main\post_list.jsp	59	main.post_list	public_html\\sysop\\html\\main\\post_list.html	public_html\\html\\main\\post_list.html	False	True
public_html\sysop\board\modify.jsp	106	board.write	public_html\\sysop\\html\\board\\write.html	public_html\\html\\board\\write.html	True	True
public_html\sysop\book\category_all_modify.jsp	75	book.category_insert	public_html\\sysop\\html\\book\\category_insert.html	public_html\\html\\book\\category_insert.html	True	False
public_html\main\remote.jsp	7	main.remote	public_html\\sysop\\html\\main\\remote.html	public_html\\html\\main\\remote.html	False	True
public_html\main\review_list.jsp	35	main.review_list	public_html\\sysop\\html\\main\\review_list.html	public_html\\html\\main\\review_list.html	False	True
public_html\sysop\board\index.jsp	170	board.list	public_html\\sysop\\html\\board\\list.html	public_html\\html\\board\\list.html	True	True
public_html\sysop\forum\forum_modify.jsp	87	forum.forum_insert	public_html\\sysop\\html\\forum\\forum_insert.html	public_html\\html\\forum\\forum_insert.html	True	False
public_html\sysop\board\file_upload.jsp	76	board.file_upload	public_html\\sysop\\html\\board\\file_upload.html	public_html\\html\\board\\file_upload.html	True	True
public_html\sysop\survey\survey_select.jsp	50	survey.survey_select	public_html\\sysop\\html\\survey\\survey_select.html	public_html\\html\\survey\\survey_select.html	True	False
public_html\sysop\kollus\live_select.jsp	46	kollus.live_select	public_html\\sysop\\html\\kollus\\live_select.html	public_html\\html\\kollus\\live_select.html	True	False
public_html\sysop\forum\forum_list.jsp	77	forum.forum_list	public_html\\sysop\\html\\forum\\forum_list.html	public_html\\html\\forum\\forum_list.html	True	False
public_html\sysop\survey\survey_modify.jsp	101	survey.survey_insert	public_html\\sysop\\html\\survey\\survey_insert.html	public_html\\html\\survey\\survey_insert.html	True	False
public_html\sysop\board\file_movie.jsp	51	board.file_movie	public_html\\sysop\\html\\board\\file_movie.html	public_html\\html\\board\\file_movie.html	True	True
public_html\sysop\forum\forum_insert.jsp	48	forum.forum_insert	public_html\\sysop\\html\\forum\\forum_insert.html	public_html\\html\\forum\\forum_insert.html	True	False
public_html\sysop\survey\survey_list.jsp	71	survey.survey_list	public_html\\sysop\\html\\survey\\survey_list.html	public_html\\html\\survey\\survey_list.html	True	False
public_html\sysop\kollus\live_list.jsp	101	kollus.live_list	public_html\\sysop\\html\\kollus\\live_list.html	public_html\\html\\kollus\\live_list.html	True	False
public_html\sysop\board\file_image.jsp	67	board.file_image	public_html\\sysop\\html\\board\\file_image.html	public_html\\html\\board\\file_image.html	True	True
public_html\sysop\kollus\live_lesson.jsp	32	kollus.live_lesson	public_html\\sysop\\html\\kollus\\live_lesson.html	public_html\\html\\kollus\\live_lesson.html	True	False
public_html\sysop\survey\survey_insert.jsp	56	survey.survey_insert	public_html\\sysop\\html\\survey\\survey_insert.html	public_html\\html\\survey\\survey_insert.html	True	False
public_html\sysop\kollus\library_list.jsp	138	kollus.library_list	public_html\\sysop\\html\\kollus\\library_list.html	public_html\\html\\kollus\\library_list.html	True	False
public_html\sysop\board\comment.jsp	141	board.comment	public_html\\sysop\\html\\board\\comment.html	public_html\\html\\board\\comment.html	True	True
public_html\sysop\kollus\kollus_upload.jsp	35	kollus.kollus_upload	public_html\\sysop\\html\\kollus\\kollus_upload.html	public_html\\html\\kollus\\kollus_upload.html	True	False
public_html\sysop\survey\question_select.jsp	87	survey.question_select	public_html\\sysop\\html\\survey\\question_select.html	public_html\\html\\survey\\question_select.html	True	False
public_html\sysop\board\category.jsp	95	board.category	public_html\\sysop\\html\\board\\category.html	public_html\\html\\board\\category.html	True	False
public_html\sysop\kollus\kollus_select.jsp	86	kollus.kollus_select	public_html\\sysop\\html\\kollus\\kollus_select.html	public_html\\html\\kollus\\kollus_select.html	True	False
public_html\sysop\survey\question_modify.jsp	86	survey.question_insert	public_html\\sysop\\html\\survey\\question_insert.html	public_html\\html\\survey\\question_insert.html	True	False
public_html\sysop\kollus\kollus_list.jsp	151	kollus.kollus_list	public_html\\sysop\\html\\kollus\\kollus_list.html	public_html\\html\\kollus\\kollus_list.html	True	False
public_html\sysop\survey\question_list.jsp	71	survey.question_list	public_html\\sysop\\html\\survey\\question_list.html	public_html\\html\\survey\\question_list.html	True	False
public_html\sysop\dept\dept_tree.jsp	68	dept.dept_tree	public_html\\sysop\\html\\dept\\dept_tree.html	public_html\\html\\dept\\dept_tree.html	True	False
public_html\sysop\board\board_modify.jsp	117	board.board_insert	public_html\\sysop\\html\\board\\board_insert.html	public_html\\html\\board\\board_insert.html	True	False
public_html\sysop\survey\question_insert.jsp	57	survey.question_insert	public_html\\sysop\\html\\survey\\question_insert.html	public_html\\html\\survey\\question_insert.html	True	False
public_html\sysop\dept\dept_modify.jsp	154	dept.dept_insert	public_html\\sysop\\html\\dept\\dept_insert.html	public_html\\html\\dept\\dept_insert.html	True	False
public_html\sysop\board\board_list.jsp	43	board.board_list	public_html\\sysop\\html\\board\\board_list.html	public_html\\html\\board\\board_list.html	True	False
public_html\sysop\content\attach_lesson.jsp	103	content.attach_lesson	public_html\\sysop\\html\\content\\attach_lesson.html	public_html\\html\\content\\attach_lesson.html	True	False
public_html\sysop\dept\dept_list.jsp	7	dept.dept_list	public_html\\sysop\\html\\dept\\dept_list.html	public_html\\html\\dept\\dept_list.html	True	False
public_html\sysop\board\board_insert.jsp	114	board.board_insert	public_html\\sysop\\html\\board\\board_insert.html	public_html\\html\\board\\board_insert.html	True	False
public_html\sysop\survey\preview.jsp	63	survey.preview	public_html\\sysop\\html\\survey\\preview.html	public_html\\html\\survey\\preview.html	True	False
public_html\sysop\dept\dept_insert.jsp	70	dept.dept_insert	public_html\\sysop\\html\\dept\\dept_insert.html	public_html\\html\\dept\\dept_insert.html	True	False
public_html\main\webtv_recent_list.jsp	80	main.webtv_recent_list	public_html\\sysop\\html\\main\\webtv_recent_list.html	public_html\\html\\main\\webtv_recent_list.html	False	True
public_html\sysop\webtv\webtv_sort.jsp	60	webtv.webtv_sort	public_html\\sysop\\html\\webtv\\webtv_sort.html	public_html\\html\\webtv\\webtv_sort.html	True	False
public_html\sysop\manual\view.jsp	33	manual.view	public_html\\sysop\\html\\manual\\view.html	public_html\\html\\manual\\view.html	True	False
public_html\sysop\webtv\webtv_select.jsp	65	webtv.webtv_select	public_html\\sysop\\html\\webtv\\webtv_select.html	public_html\\html\\webtv\\webtv_select.html	True	False
public_html\main\webtv_main_calendar.jsp	42	main.webtv_main_calendar	public_html\\sysop\\html\\main\\webtv_main_calendar.html	public_html\\html\\main\\webtv_main_calendar.html	False	True
public_html\sysop\board\attach.jsp	92	board.attach	public_html\\sysop\\html\\board\\attach.html	public_html\\html\\board\\attach.html	True	True
public_html\sysop\manual\top.jsp	5	manual.top	public_html\\sysop\\html\\manual\\top.html	public_html\\html\\manual\\top.html	True	False
public_html\sysop\webtv\webtv_modify.jsp	184	webtv.webtv_insert	public_html\\sysop\\html\\webtv\\webtv_insert.html	public_html\\html\\webtv\\webtv_insert.html	True	False
public_html\main\webtv_live.jsp	29	main.webtv_live	public_html\\sysop\\html\\main\\webtv_live.html	public_html\\html\\main\\webtv_live.html	False	True
public_html\sysop\board\answer.jsp	156	board.answer	public_html\\sysop\\html\\board\\answer.html	public_html\\html\\board\\answer.html	True	False
public_html\sysop\manual\search.jsp	30	manual.search	public_html\\sysop\\html\\manual\\search.html	public_html\\html\\manual\\search.html	True	False
public_html\sysop\mail\template_modify.jsp	53	mail.template_insert	public_html\\sysop\\html\\mail\\template_insert.html	public_html\\html\\mail\\template_insert.html	True	False
public_html\sysop\webtv\webtv_log_all.jsp	105	webtv.webtv_log_all	public_html\\sysop\\html\\webtv\\webtv_log_all.html	public_html\\html\\webtv\\webtv_log_all.html	True	False
public_html\sysop\webtv\webtv_log_all.jsp	122	webtv.webtv_log_all	public_html\\sysop\\html\\webtv\\webtv_log_all.html	public_html\\html\\webtv\\webtv_log_all.html	True	False
public_html\sysop\formmail\pop_sms.jsp	115	formmail.pop_sms	public_html\\sysop\\html\\formmail\\pop_sms.html	public_html\\html\\formmail\\pop_sms.html	True	False
public_html\sysop\manual\manual_view.jsp	32	manual.manual_view	public_html\\sysop\\html\\manual\\manual_view.html	public_html\\html\\manual\\manual_view.html	True	False
public_html\sysop\survey\category.jsp	86	survey.category	public_html\\sysop\\html\\survey\\category.html	public_html\\html\\survey\\category.html	True	False
public_html\sysop\webtv\webtv_log.jsp	108	webtv.webtv_log	public_html\\sysop\\html\\webtv\\webtv_log.html	public_html\\html\\webtv\\webtv_log.html	True	False
public_html\sysop\formmail\pop_mail.jsp	59	formmail.pop_mail	public_html\\sysop\\html\\formmail\\pop_mail.html	public_html\\html\\formmail\\pop_mail.html	True	False
public_html\sysop\mail\template_list.jsp	46	mail.template_list	public_html\\sysop\\html\\mail\\template_list.html	public_html\\html\\mail\\template_list.html	True	False
public_html\sysop\manual\manual_tree.jsp	27	manual.manual_tree	public_html\\sysop\\html\\manual\\manual_tree.html	public_html\\html\\manual\\manual_tree.html	True	False
public_html\sysop\webtv\webtv_live_preview.jsp	41	webtv.webtv_live_preview	public_html\\sysop\\html\\webtv\\webtv_live_preview.html	public_html\\html\\webtv\\webtv_live_preview.html	True	False
public_html\sysop\mail\template_insert.jsp	54	mail.template_insert	public_html\\sysop\\html\\mail\\template_insert.html	public_html\\html\\mail\\template_insert.html	True	False
public_html\sysop\manual\manual_modify.jsp	81	manual.manual_insert	public_html\\sysop\\html\\manual\\manual_insert.html	public_html\\html\\manual\\manual_insert.html	True	False
public_html\sysop\webtv\webtv_live.jsp	65	webtv.webtv_live	public_html\\sysop\\html\\webtv\\webtv_live.html	public_html\\html\\webtv\\webtv_live.html	True	False
public_html\sysop\formmail\formmail_view.jsp	39	formmail.formmail_view	public_html\\sysop\\html\\formmail\\formmail_view.html	public_html\\html\\formmail\\formmail_view.html	True	False
public_html\sysop\manual\manual_list.jsp	7	manual.manual_list	public_html\\sysop\\html\\manual\\manual_list.html	public_html\\html\\manual\\manual_list.html	True	False
public_html\sysop\site\template_modify.jsp	48	site.template_view	public_html\\sysop\\html\\site\\template_view.html	public_html\\html\\site\\template_view.html	False	False
public_html\sysop\webtv\webtv_list.jsp	84	webtv.webtv_list	public_html\\sysop\\html\\webtv\\webtv_list.html	public_html\\html\\webtv\\webtv_list.html	True	True
public_html\sysop\formmail\formmail_list.jsp	58	formmail.formmail_list	public_html\\sysop\\html\\formmail\\formmail_list.html	public_html\\html\\formmail\\formmail_list.html	True	False
public_html\sysop\mail\send_list.jsp	63	mail.send_list	public_html\\sysop\\html\\mail\\send_list.html	public_html\\html\\mail\\send_list.html	True	False
public_html\sysop\site\template_list.jsp	78	site.template_list	public_html\\sysop\\html\\site\\template_list.html	public_html\\html\\site\\template_list.html	True	False
public_html\sysop\manual\manual_insert.jsp	77	manual.manual_insert	public_html\\sysop\\html\\manual\\manual_insert.html	public_html\\html\\manual\\manual_insert.html	True	False
public_html\sysop\webtv\webtv_insert.jsp	144	webtv.webtv_insert	public_html\\sysop\\html\\webtv\\webtv_insert.html	public_html\\html\\webtv\\webtv_insert.html	True	False
public_html\sysop\site\site_user_modify.jsp	184	site.site_user_modify	public_html\\sysop\\html\\site\\site_user_modify.html	public_html\\html\\site\\site_user_modify.html	True	False
public_html\sysop\mail\pop_mail.jsp	136	mail.pop_mail	public_html\\sysop\\html\\mail\\pop_mail.html	public_html\\html\\mail\\pop_mail.html	True	False
public_html\sysop\manual\manual_content.jsp	34	manual.manual_content	public_html\\sysop\\html\\manual\\manual_content.html	public_html\\html\\manual\\manual_content.html	True	False
public_html\sysop\mail\mail_modify.jsp	125	mail.mail_insert	public_html\\sysop\\html\\mail\\mail_insert.html	public_html\\html\\mail\\mail_insert.html	True	False
public_html\main\search_detail.jsp	331	main.search_detail	public_html\\sysop\\html\\main\\search_detail.html	public_html\\html\\main\\search_detail.html	False	True
public_html\sysop\webtv\playlist_tree.jsp	17	webtv.playlist_tree	public_html\\sysop\\html\\webtv\\playlist_tree.html	public_html\\html\\webtv\\playlist_tree.html	True	False
public_html\sysop\manual\main.jsp	5	manual.main	public_html\\sysop\\html\\manual\\main.html	public_html\\html\\manual\\main.html	True	False
public_html\main\search.jsp	387	main.search	public_html\\sysop\\html\\main\\search.html	public_html\\html\\main\\search.html	False	True
public_html\sysop\mail\mail_list.jsp	62	mail.mail_list	public_html\\sysop\\html\\mail\\mail_list.html	public_html\\html\\mail\\mail_list.html	True	False
public_html\sysop\manual\list.jsp	16	manual.list	public_html\\sysop\\html\\manual\\list.html	public_html\\html\\manual\\list.html	True	False
public_html\sysop\webtv\playlist_sort.jsp	111	webtv.playlist_sort	public_html\\sysop\\html\\webtv\\playlist_sort.html	public_html\\html\\webtv\\playlist_sort.html	True	False
public_html\main\schedule_weekly.jsp	30	main.schedule_weekly	public_html\\sysop\\html\\main\\schedule_weekly.html	public_html\\html\\main\\schedule_weekly.html	False	True
public_html\sysop\mail\mail_insert.jsp	133	mail.mail_insert	public_html\\sysop\\html\\mail\\mail_insert.html	public_html\\html\\mail\\mail_insert.html	True	False
public_html\sysop\webtv\playlist_select.jsp	30	webtv.playlist_select	public_html\\sysop\\html\\webtv\\playlist_select.html	public_html\\html\\webtv\\playlist_select.html	True	False
public_html\sysop\crm\coupon_list.jsp	63	crm.coupon_list	public_html\\sysop\\html\\crm\\coupon_list.html	public_html\\html\\crm\\coupon_list.html	True	False
public_html\sysop\mail\mail_group_modify.jsp	135	mail.mail_group_insert	public_html\\sysop\\html\\mail\\mail_group_insert.html	public_html\\html\\mail\\mail_group_insert.html	True	False
public_html\sysop\site\site_platform_modify.jsp	60	site.site_platform_modify	public_html\\sysop\\html\\site\\site_platform_modify.html	public_html\\html\\site\\site_platform_modify.html	True	False
public_html\sysop\webtv\playlist_modify.jsp	118	webtv.playlist_insert	public_html\\sysop\\html\\webtv\\playlist_insert.html	public_html\\html\\webtv\\playlist_insert.html	True	False
public_html\sysop\complete\user_search.jsp	50	complete.user_search	public_html\\sysop\\html\\complete\\user_search.html	public_html\\html\\complete\\user_search.html	True	False
public_html\sysop\complete\user_search.jsp	63	complete.user_search	public_html\\sysop\\html\\complete\\user_search.html	public_html\\html\\complete\\user_search.html	True	False
public_html\sysop\mail\mail_group_insert.jsp	133	mail.mail_group_insert	public_html\\sysop\\html\\mail\\mail_group_insert.html	public_html\\html\\mail\\mail_group_insert.html	True	False
public_html\sysop\webtv\playlist_list.jsp	8	webtv.playlist_list	public_html\\sysop\\html\\webtv\\playlist_list.html	public_html\\html\\webtv\\playlist_list.html	True	False
public_html\sysop\site\site_payment_modify.jsp	177	site.site_payment_modify	public_html\\sysop\\html\\site\\site_payment_modify.html	public_html\\html\\site\\site_payment_modify.html	True	False
public_html\sysop\crm\book_view.jsp	62	crm.book_view	public_html\\sysop\\html\\crm\\book_view.html	public_html\\html\\crm\\book_view.html	True	False
public_html\sysop\mail\mail_excel.jsp	130	mail.mail_excel	public_html\\sysop\\html\\mail\\mail_excel.html	public_html\\html\\mail\\mail_excel.html	True	False
public_html\sysop\complete\user_course.jsp	91	complete.user_course	public_html\\sysop\\html\\complete\\user_course.html	public_html\\html\\complete\\user_course.html	True	False
public_html\sysop\webtv\playlist_insert.jsp	88	webtv.playlist_insert	public_html\\sysop\\html\\webtv\\playlist_insert.html	public_html\\html\\webtv\\playlist_insert.html	True	False
public_html\sysop\site\site_module_modify.jsp	177	site.site_module_modify	public_html\\sysop\\html\\site\\site_module_modify.html	public_html\\html\\site\\site_module_modify.html	True	False
public_html\sysop\content\preview_mobile.jsp	16	content.preview_mobile	public_html\\sysop\\html\\content\\preview_mobile.html	public_html\\html\\content\\preview_mobile.html	True	False
public_html\sysop\crm\book_list.jsp	52	crm.book_list	public_html\\sysop\\html\\crm\\book_list.html	public_html\\html\\crm\\book_list.html	True	False
public_html\sysop\complete\pop_reorder_complete_no.jsp	31	complete.pop_reorder_complete_no	public_html\\sysop\\html\\complete\\pop_reorder_complete_no.html	public_html\\html\\complete\\pop_reorder_complete_no.html	True	False
public_html\sysop\site\site_info_modify.jsp	165	site.site_info_modify	public_html\\sysop\\html\\site\\site_info_modify.html	public_html\\html\\site\\site_info_modify.html	True	False
public_html\sysop\webtv\log_list.jsp	90	webtv.log_list	public_html\\sysop\\html\\webtv\\log_list.html	public_html\\html\\webtv\\log_list.html	True	False
public_html\sysop\site\site_info.jsp	524	site.site_info	public_html\\sysop\\html\\site\\site_info.html	public_html\\html\\site\\site_info.html	True	False
public_html\sysop\content\place_modify.jsp	74	content.place_insert	public_html\\sysop\\html\\content\\place_insert.html	public_html\\html\\content\\place_insert.html	True	False
public_html\sysop\complete\course_result.jsp	84	complete.course_result	public_html\\sysop\\html\\complete\\course_result.html	public_html\\html\\complete\\course_result.html	True	False
public_html\sysop\webtv\lesson_select.jsp	53	webtv.lesson_select	public_html\\sysop\\html\\webtv\\lesson_select.html	public_html\\html\\webtv\\lesson_select.html	True	False
public_html\sysop\content\place_list.jsp	60	content.place_list	public_html\\sysop\\html\\content\\place_list.html	public_html\\html\\content\\place_list.html	True	False
public_html\sysop\complete\course_list.jsp	145	complete.course_list	public_html\\sysop\\html\\complete\\course_list.html	public_html\\html\\complete\\course_list.html	True	False
public_html\sysop\site\site_config_insert.jsp	34	site.site_config_insert	public_html\\sysop\\html\\site\\site_config_insert.html	public_html\\html\\site\\site_config_insert.html	True	False
public_html\sysop\content\place_insert.jsp	73	content.place_insert	public_html\\sysop\\html\\content\\place_insert.html	public_html\\html\\content\\place_insert.html	True	False
