jsp	line	body	candidate_sysop_html	candidate_front_html	exists_sysop	exists_front
public_html\classroom\sms_auth.jsp	97	classroom.sms_auth	public_html\\sysop\\html\\classroom\\sms_auth.html	public_html\\html\\classroom\\sms_auth.html	False	True
public_html\classroom\homework_view.jsp	177	classroom.homework_view	public_html\\sysop\\html\\classroom\\homework_view.html	public_html\\html\\classroom\\homework_view.html	False	True
public_html\classroom\review_view.jsp	65	classroom.review_view	public_html\\sysop\\html\\classroom\\review_view.html	public_html\\html\\classroom\\review_view.html	False	True
public_html\classroom\homework_task_view.jsp	144	classroom.homework_task_view	public_html\\sysop\\html\\classroom\\homework_task_view.html	public_html\\html\\classroom\\homework_task_view.html	False	True
public_html\classroom\review_modify.jsp	41	classroom.review_insert	public_html\\sysop\\html\\classroom\\review_insert.html	public_html\\html\\classroom\\review_insert.html	False	True
public_html\tutor_lms\certificate.jsp	102	page.certificate	public_html\\sysop\\html\\page\\certificate.html	public_html\\html\\page\\certificate.html	False	True
public_html\classroom\homework.jsp	78	classroom.homework	public_html\\sysop\\html\\classroom\\homework.html	public_html\\html\\classroom\\homework.html	False	True
public_html\classroom\review_insert.jsp	56	classroom.review_insert	public_html\\sysop\\html\\classroom\\review_insert.html	public_html\\html\\classroom\\review_insert.html	False	True
public_html\classroom\review.jsp	49	classroom.review	public_html\\sysop\\html\\classroom\\review.html	public_html\\html\\classroom\\review.html	False	True
public_html\classroom\notice_view.jsp	66	classroom.notice_view	public_html\\sysop\\html\\classroom\\notice_view.html	public_html\\html\\classroom\\notice_view.html	False	True
public_html\classroom\forum_view.jsp	98	classroom.forum_view	public_html\\sysop\\html\\classroom\\forum_view.html	public_html\\html\\classroom\\forum_view.html	False	True
public_html\book\book_view.jsp	134	book.book_view	public_html\\sysop\\html\\book\\book_view.html	public_html\\html\\book\\book_view.html	False	True
public_html\classroom\notice.jsp	41	classroom.notice	public_html\\sysop\\html\\classroom\\notice.html	public_html\\html\\classroom\\notice.html	False	True
public_html\classroom\forum_read.jsp	142	classroom.forum_read	public_html\\sysop\\html\\classroom\\forum_read.html	public_html\\html\\classroom\\forum_read.html	False	True
public_html\classroom\library_view.jsp	21	classroom.library_view	public_html\\sysop\\html\\classroom\\library_view.html	public_html\\html\\classroom\\library_view.html	False	True
public_html\classroom\forum_insert.jsp	111	classroom.forum_insert	public_html\\sysop\\html\\classroom\\forum_insert.html	public_html\\html\\classroom\\forum_insert.html	False	True
public_html\classroom\library.jsp	42	classroom.library	public_html\\sysop\\html\\classroom\\library.html	public_html\\html\\classroom\\library.html	False	True
public_html\book\book_list.jsp	108	book.book_list	public_html\\sysop\\html\\book\\book_list.html	public_html\\html\\book\\book_list.html	True	True
public_html\classroom\forum.jsp	61	classroom.forum	public_html\\sysop\\html\\classroom\\forum.html	public_html\\html\\classroom\\forum.html	False	True
public_html\classroom\kollus_upload.jsp	30	classroom.kollus_upload	public_html\\sysop\\html\\classroom\\kollus_upload.html	public_html\\html\\classroom\\kollus_upload.html	False	True
public_html\book\book_all_list.jsp	133	book.book_all_list	public_html\\sysop\\html\\book\\book_all_list.html	public_html\\html\\book\\book_all_list.html	False	True
public_html\classroom\file_upload.jsp	73	classroom.file_upload	public_html\\sysop\\html\\classroom\\file_upload.html	public_html\\html\\classroom\\file_upload.html	False	True
public_html\classroom\exam_view.jsp	121	classroom.exam_view	public_html\\sysop\\html\\classroom\\exam_view.html	public_html\\html\\classroom\\exam_view.html	False	True
public_html\order\payment.jsp	509	order.payment	public_html\\sysop\\html\\order\\payment.html	public_html\\html\\order\\payment.html	False	True
public_html\order\discount_apply.jsp	257	order.discount_apply	public_html\\sysop\\html\\order\\discount_apply.html	public_html\\html\\order\\discount_apply.html	False	True
public_html\order\cart_list.jsp	227	order.cart_list	public_html\\sysop\\html\\order\\cart_list.html	public_html\\html\\order\\cart_list.html	False	True
public_html\order\cart_common_insert.jsp	297	order.cart_common_insert	public_html\\sysop\\html\\order\\cart_common_insert.html	public_html\\html\\order\\cart_common_insert.html	False	True
public_html\webtv\webtv_view.jsp	179	webtv.webtv_view	public_html\\sysop\\html\\webtv\\webtv_view.html	public_html\\html\\webtv\\webtv_view.html	False	True
public_html\webtv\webtv_related_list.jsp	53	main.webtv_recent_list	public_html\\sysop\\html\\main\\webtv_recent_list.html	public_html\\html\\main\\webtv_recent_list.html	False	True
public_html\webtv\webtv_list2.jsp	134	webtv.webtv_list2	public_html\\sysop\\html\\webtv\\webtv_list2.html	public_html\\html\\webtv\\webtv_list2.html	False	True
public_html\webtv\webtv_list.jsp	130	webtv.webtv_list	public_html\\sysop\\html\\webtv\\webtv_list.html	public_html\\html\\webtv\\webtv_list.html	True	True
public_html\webtv\webtv_calendar.jsp	64	webtv.webtv_calendar	public_html\\sysop\\html\\webtv\\webtv_calendar.html	public_html\\html\\webtv\\webtv_calendar.html	False	True
public_html\webtv\playlist_view.jsp	110	webtv.webtv_view	public_html\\sysop\\html\\webtv\\webtv_view.html	public_html\\html\\webtv\\webtv_view.html	False	True
public_html\webtv\playlist_list.jsp	116	webtv.webtv_list	public_html\\sysop\\html\\webtv\\webtv_list.html	public_html\\html\\webtv\\webtv_list.html	True	True
public_html\webtv\live.jsp	46	webtv.live	public_html\\sysop\\html\\webtv\\live.html	public_html\\html\\webtv\\live.html	False	True
public_html\mypage\webtv_list.jsp	53	mypage.webtv_list	public_html\\sysop\\html\\mypage\\webtv_list.html	public_html\\html\\mypage\\webtv_list.html	False	True
public_html\mypage\refund_insert.jsp	133	mypage.refund_insert	public_html\\sysop\\html\\mypage\\refund_insert.html	public_html\\html\\mypage\\refund_insert.html	False	True
public_html\mypage\reco_video_more.jsp	157	mypage.reco_video_more	public_html\\sysop\\html\\mypage\\reco_video_more.html	public_html\\html\\mypage\\reco_video_more.html	False	True
public_html\mypage\coupon_list.old.jsp	124	mypage.coupon_list	public_html\\sysop\\html\\mypage\\coupon_list.html	public_html\\html\\mypage\\coupon_list.html	False	True
public_html\mypage\coupon_list.jsp	132	mypage.coupon_list	public_html\\sysop\\html\\mypage\\coupon_list.html	public_html\\html\\mypage\\coupon_list.html	False	True
public_html\mypage\certificate_template.jsp	149	page.certificate_template	public_html\\sysop\\html\\page\\certificate_template.html	public_html\\html\\page\\certificate_template.html	False	True
public_html\mypage\out.jsp	46	mypage.out	public_html\\sysop\\html\\mypage\\out.html	public_html\\html\\mypage\\out.html	False	True
public_html\mypage\certificate_multi.jsp	146	page.certificate_multi	public_html\\sysop\\html\\page\\certificate_multi.html	public_html\\html\\page\\certificate_multi.html	False	True
public_html\mypage\order_view.jsp	275	mypage.order_view	public_html\\sysop\\html\\mypage\\order_view.html	public_html\\html\\mypage\\order_view.html	False	True
public_html\mypage\certificate_list.jsp	56	mypage.certificate_list	public_html\\sysop\\html\\mypage\\certificate_list.html	public_html\\html\\mypage\\certificate_list.html	False	True
public_html\mypage\order_list.jsp	45	mypage.order_list	public_html\\sysop\\html\\mypage\\order_list.html	public_html\\html\\mypage\\order_list.html	False	True
public_html\mypage\certificate_course.jsp	139	page.certificate_course	public_html\\sysop\\html\\page\\certificate_course.html	public_html\\html\\page\\certificate_course.html	False	True
public_html\mypage\certificate_bak.jsp	134	page.certificate	public_html\\sysop\\html\\page\\certificate.html	public_html\\html\\page\\certificate.html	False	True
public_html\mypage\certificate_all_list.jsp	52	mypage.certificate_all_list	public_html\\sysop\\html\\mypage\\certificate_all_list.html	public_html\\html\\mypage\\certificate_all_list.html	False	True
public_html\mypage\certificate.jsp	143	page.certificate	public_html\\sysop\\html\\page\\certificate.html	public_html\\html\\page\\certificate.html	False	True
public_html\mypage\new_main\job.jsp	74	mypage.new_main_job	public_html\\sysop\\html\\mypage\\new_main_job.html	public_html\\html\\mypage\\new_main_job.html	False	True
public_html\mypage\book_viewer.jsp	55	mypage.book_viewer	public_html\\sysop\\html\\mypage\\book_viewer.html	public_html\\html\\mypage\\book_viewer.html	False	True
public_html\mypage\new_main\index.jsp	341	mypage.new_main_full	public_html\\sysop\\html\\mypage\\new_main_full.html	public_html\\html\\mypage\\new_main_full.html	False	True
public_html\mypage\book_list.jsp	60	mypage.book_list	public_html\\sysop\\html\\mypage\\book_list.html	public_html\\html\\mypage\\book_list.html	False	True
public_html\mypage\modify_verify.jsp	32	mypage.modify_verify	public_html\\sysop\\html\\mypage\\modify_verify.html	public_html\\html\\mypage\\modify_verify.html	False	True
public_html\mypage\modify_passwd.jsp	73	mypage.modify_passwd	public_html\\sysop\\html\\mypage\\modify_passwd.html	public_html\\html\\mypage\\modify_passwd.html	False	True
public_html\mypage\modify2.jsp	281	mypage.modify2	public_html\\sysop\\html\\mypage\\modify2.html	public_html\\html\\mypage\\modify2.html	False	True
public_html\mypage\modify.jsp	347	mypage.modify	public_html\\sysop\\html\\mypage\\modify.html	public_html\\html\\mypage\\modify.html	False	True
public_html\mypage\index.jsp	232	mypage.index	public_html\\sysop\\html\\mypage\\index.html	public_html\\html\\mypage\\index.html	False	True
public_html\mypage\freepass_list.jsp	49	mypage.freepass_list	public_html\\sysop\\html\\mypage\\freepass_list.html	public_html\\html\\mypage\\freepass_list.html	False	True
public_html\mypage\discount_apply.jsp	252	mypage.discount_apply	public_html\\sysop\\html\\mypage\\discount_apply.html	public_html\\html\\mypage\\discount_apply.html	False	True
public_html\mypage\course_list.jsp	200	mypage.course_list	public_html\\sysop\\html\\mypage\\course_list.html	public_html\\html\\mypage\\course_list.html	False	True
public_html\mypage\course_lesson_list.jsp	46	mypage.course_lesson_list	public_html\\sysop\\html\\mypage\\course_lesson_list.html	public_html\\html\\mypage\\course_lesson_list.html	False	True
public_html\mobile\classroom.jsp	262	mobile.classroom	public_html\\sysop\\html\\mobile\\classroom.html	public_html\\html\\mobile\\classroom.html	False	True
public_html\mobile\book_view.jsp	128	mobile.book_view	public_html\\sysop\\html\\mobile\\book_view.html	public_html\\html\\mobile\\book_view.html	False	True
public_html\mobile\cpost_insert.jsp	154	mobile.cpost_insert	public_html\\sysop\\html\\mobile\\cpost_insert.html	public_html\\html\\mobile\\cpost_insert.html	False	True
public_html\mobile\book_list.jsp	104	mobile.book_list	public_html\\sysop\\html\\mobile\\book_list.html	public_html\\html\\mobile\\book_list.html	False	True
public_html\mobile\course_list.jsp	269	mobile.course_list	public_html\\sysop\\html\\mobile\\course_list.html	public_html\\html\\mobile\\course_list.html	False	True
public_html\mobile\course_calendar.jsp	62	mobile.course_calendar	public_html\\sysop\\html\\mobile\\course_calendar.html	public_html\\html\\mobile\\course_calendar.html	False	True
public_html\mobile\course_lesson_list.jsp	47	mobile.course_lesson_list	public_html\\sysop\\html\\mobile\\course_lesson_list.html	public_html\\html\\mobile\\course_lesson_list.html	False	False
public_html\mobile\course_view.jsp	293	mobile.package_view	public_html\\sysop\\html\\mobile\\package_view.html	public_html\\html\\mobile\\package_view.html	False	True
public_html\mobile\course_view.jsp	294	mobile.course_view	public_html\\sysop\\html\\mobile\\course_view.html	public_html\\html\\mobile\\course_view.html	False	True
public_html\mobile\course_view.jsp	295	mobile.course_view	public_html\\sysop\\html\\mobile\\course_view.html	public_html\\html\\mobile\\course_view.html	False	True
public_html\mobile\formmail.jsp	7	mobile.formmail	public_html\\sysop\\html\\mobile\\formmail.html	public_html\\html\\mobile\\formmail.html	False	True
public_html\mobile\cpost_modify.jsp	113	mobile.cpost_insert	public_html\\sysop\\html\\mobile\\cpost_insert.html	public_html\\html\\mobile\\cpost_insert.html	False	True
public_html\mobile\freepass_view.jsp	40	mobile.freepass_view	public_html\\sysop\\html\\mobile\\freepass_view.html	public_html\\html\\mobile\\freepass_view.html	False	True
public_html\mobile\freepass_list.jsp	71	mobile.freepass_list	public_html\\sysop\\html\\mobile\\freepass_list.html	public_html\\html\\mobile\\freepass_list.html	False	True
public_html\mobile\cpost_view.jsp	106	mobile.cpost_view	public_html\\sysop\\html\\mobile\\cpost_view.html	public_html\\html\\mobile\\cpost_view.html	False	True
public_html\mobile\index.jsp	27	mobile.index_b2b	public_html\\sysop\\html\\mobile\\index_b2b.html	public_html\\html\\mobile\\index_b2b.html	False	True
public_html\mobile\index.jsp	31	mobile.index	public_html\\sysop\\html\\mobile\\index.html	public_html\\html\\mobile\\index.html	False	True
public_html\mobile\join_success.jsp	31	mobile.join_success	public_html\\sysop\\html\\mobile\\join_success.html	public_html\\html\\mobile\\join_success.html	False	True
public_html\minitalk\index.jsp	15	minitalk.index	public_html\\sysop\\html\\minitalk\\index.html	public_html\\html\\minitalk\\index.html	False	True
public_html\mobile\login.jsp	223	mobile.login	public_html\\sysop\\html\\mobile\\login.html	public_html\\html\\mobile\\login.html	False	True
public_html\mobile\mybook.jsp	60	mobile.mybook	public_html\\sysop\\html\\mobile\\mybook.html	public_html\\html\\mobile\\mybook.html	False	True
public_html\mobile\mypage.jsp	117	mobile.mypage	public_html\\sysop\\html\\mobile\\mypage.html	public_html\\html\\mobile\\mypage.html	False	True
public_html\schedule\schedule_view.jsp	21	schedule.schedule_view	public_html\\sysop\\html\\schedule\\schedule_view.html	public_html\\html\\schedule\\schedule_view.html	False	True
public_html\schedule\schedule.jsp	61	schedule.schedule	public_html\\sysop\\html\\schedule\\schedule.html	public_html\\html\\schedule\\schedule.html	True	True
public_html\tutor\tutor_view.jsp	130	tutor.tutor_view	public_html\\sysop\\html\\tutor\\tutor_view.html	public_html\\html\\tutor\\tutor_view.html	False	True
